survey_year,variable,pct_missing
1993,respiratory_symptom,0.07612833061446438
1998,respiratory_symptom,4.107385871582333
2003,respiratory_symptom,3.63890832750175
2008,respiratory_symptom,2.8910529519172243
2013,respiratory_symptom,2.827050997782705
1993,sample_weight,0
1998,sample_weight,0
2003,sample_weight,0
2008,sample_weight,0
2013,sample_weight,0
1993,sex_child,0
1998,sex_child,0
2003,sex_child,0
2008,sex_child,0
2013,sex_child,0
1993,survived,0
1998,survived,0
2003,survived,0
2008,survived,0
2013,survived,0
1993,toilet_shared,100
1998,toilet_shared,100
2003,toilet_shared,100
2008,toilet_shared,14.379184418746197
2013,toilet_shared,11.100332594235034
1993,toilet_type,0.17400761283306146
1998,toilet_type,0
2003,toilet_type,0.08397480755773268
2008,toilet_type,0
2013,toilet_type,0
1993,total_children_ever_born,0
1998,total_children_ever_born,0
2003,total_children_ever_born,0
2008,total_children_ever_born,0
2013,total_children_ever_born,0
1993,urban_rural,0
1998,urban_rural,0
2003,urban_rural,0
2008,urban_rural,0
2013,urban_rural,0
1993,water_fetch_time,0
1998,water_fetch_time,0
2003,water_fetch_time,0
2008,water_fetch_time,0
2013,water_fetch_time,0
1993,water_source,0.38064165307232195
1998,water_source,0
2003,water_source,0.04198740377886634
2008,water_source,0
2013,water_source,0
